date,tournament,radiant,dire,winner,match_id
2012-06-24,The Defense 2,WhA,EG,DIRE,22270148
2012-06-28,The Defense 2,Unknown,EG,DIRE,22959375
2012-06-29,StarSeries II Finals,EG,Empire,DIRE,23152391
2012-06-29,StarSeries II Finals,EG,NEXT.kz,RADIANT,23160256
2012-07-11,The Defense 2,EG,Unknown,DIRE,25449321
2012-07-17,BTS World Tour,EG,Unknown,RADIANT,26658780
2012-07-17,BTS World Tour,Unknown,EG,DIRE,26649858
2012-07-19,The Defense 2,EG,Unknown,RADIANT,27042254
2012-07-19,The Defense 2,Unknown,EG,DIRE,27051421
2012-07-27,The Defense 2,EG,Unknown,RADIANT,28705062
2012-07-27,The Defense 2,Unknown,EG,DIRE,28718127
2012-07-30,BTS World Tour,EG,TongFu,RADIANT,29364063
2012-07-30,BTS World Tour,TongFu,EG,DIRE,29375839
2012-07-30,BTS World Tour,EG,LGD.cn,RADIANT,29393541
2012-07-30,BTS World Tour,LGD.cn,EG,DIRE,29413678
2012-07-30,BTS World Tour,LGD.cn,EG,DIRE,29405010
2012-08-01,The Defense 2,EG,SGC,RADIANT,29834159
2012-08-01,The Defense 2,SGC,EG,DIRE,29845352
2012-08-04,ECAL Americas,Unknown,EG,DIRE,30535565
2012-08-04,ECAL Americas,EG,Unknown,RADIANT,30541978
2012-08-07,ECAL Americas,aL,EG,DIRE,31292512
2012-08-07,ECAL Americas,EG,aL,RADIANT,31296544
2012-08-07,ECAL Americas,EG,aL,DIRE,31285551
2012-08-07,The Defense 2,Quantic,EG,DIRE,31231127
2012-08-07,The Defense 2,Quantic,EG,DIRE,31255675
2012-08-07,The Defense 2,EG,Quantic,DIRE,31243425
2012-08-08,BTS World Tour,DK,EG,DIRE,31425048
2012-08-08,BTS World Tour,EG,DK,RADIANT,31439307
2012-08-10,The Defense 2,EG,mouz,RADIANT,31885518
2012-08-10,The Defense 2,mouz,EG,RADIANT,31895228
2012-08-10,The Defense 2,mouz,EG,RADIANT,31904924
2012-08-11,ECAL Americas,EG,coL,DIRE,32220796
2012-08-11,ECAL Americas,coL,EG,RADIANT,32232139
2012-08-11,ECAL Americas,coL,EG,RADIANT,32244539
2012-08-11,ECAL Americas,EG,coL,RADIANT,32238051
2012-08-21,BTS World Tour,CLG,EG,RADIANT,34535877
2012-08-21,BTS World Tour,EG,CLG,DIRE,34551968
2012-08-26,The International 2012,DK,EG,RADIANT,35811738
2012-08-26,The International 2012,EG,DK,DIRE,35819591
2012-08-26,The International 2012,LGD.cn,EG,RADIANT,35860032
2012-08-26,The International 2012,EG,LGD.cn,DIRE,35865209
2012-08-26,The International 2012,EG,Zenith,RADIANT,35891619
2012-08-26,The International 2012,Zenith,EG,DIRE,35887029
2012-08-27,The International 2012,M5,EG,DIRE,36102309
2012-08-27,The International 2012,EG,M5,RADIANT,36098103
2012-08-27,The International 2012,EG,aL,DIRE,36028658
2012-08-27,The International 2012,EG,mouz,RADIANT,36075732
2012-08-27,The International 2012,aL,EG,RADIANT,36039771
2012-08-27,The International 2012,mouz,EG,DIRE,36082092
2012-08-28,The International 2012,EG,CLG,RADIANT,36255449
2012-08-28,The International 2012,CLG,EG,DIRE,36264265
2012-08-31,The International 2012,iG,EG,RADIANT,37086655
2012-08-31,The International 2012,EG,iG,RADIANT,37091652
2012-08-31,The International 2012,EG,iG,DIRE,37095808
2012-09-01,The International 2012,TongFu,EG,RADIANT,37307486
2012-09-17,StarSeries III Prelims,EG,MYM,RADIANT,41536593
2012-09-20,StarSeries III Prelims,EG,MYM,RADIANT,42255122
2012-09-23,StarSeries III Prelims,EG,Quantic,DIRE,43224949
2012-09-23,RaidCall I,EG,Dignitas,RADIANT,43254951
2012-09-23,RaidCall I,Dignitas,EG,RADIANT,43261140
2012-09-23,RaidCall I,EG,Dignitas,RADIANT,43275923
2012-09-24,StarSeries III Prelims,EG,Zero,DIRE,43493761
2012-09-25,StarSeries III Prelims,EG,The Retry,RADIANT,43732432
2012-09-26,StarSeries III Prelims,aL,EG,DIRE,43998393
2012-09-26,StarSeries III Prelims,EG,Empire,DIRE,43958790
2012-09-26,StarSeries III Prelims,Fnatic.EU,EG,DIRE,43977506
2012-09-27,RaidCall I,CLG,EG,DIRE,44263694
2012-09-27,StarSeries III Prelims,EG,VP,DIRE,44228096
2012-09-27,RaidCall I,EG,CLG,RADIANT,44249681
2012-09-28,StarSeries III Prelims,EG,Darer,RADIANT,44501476
2012-09-29,StarSeries III Prelims,EG,M5,DIRE,44821217
2012-09-30,StarSeries III Prelims,EG,NaVi,RADIANT,45152412
2012-10-02,StarSeries III Prelims,EG,Eclypsia,RADIANT,45719811
2012-10-04,StarSeries III Prelims,Pulse,EG,RADIANT,46254734
2012-10-09,RaidCall I,Pulse,EG,DIRE,48019084
2012-10-09,RaidCall I,EG,Pulse,RADIANT,48041033
2012-10-10,RaidCall I,Zero,EG,DIRE,48359657
2012-10-10,RaidCall I,EG,Zero,RADIANT,48372450
2012-10-17,RaidCall I,EG,Quantic,RADIANT,50515651
2012-10-17,RaidCall I,Quantic,EG,DIRE,50519422
2012-10-18,RaidCall I,EG,WhA,RADIANT,50782210
2012-10-18,RaidCall I,WhA,EG,DIRE,50769463
2012-10-25,G-1 IV Prelims,FTFC,EG,RADIANT,53209247
2012-10-25,G-1 IV Prelims,EG,FTFC,RADIANT,53188944
2012-10-26,G-1 IV Prelims,MUFC,EG,RADIANT,53510908
2012-10-26,G-1 IV Prelims,EG,MUFC,RADIANT,53534174
2012-10-29,G-1 IV Prelims,LGD.cn,EG,RADIANT,54961722
2012-10-29,G-1 IV Prelims,EG,LGD.cn,DIRE,54974900
2012-11-01,G-1 IV Prelims,iG,EG,RADIANT,56380076
2012-11-01,G-1 IV Prelims,EG,iG,DIRE,56401485
2012-11-06,G-1 IV Prelims,EG,TongFu,RADIANT,58773653
2012-11-06,G-1 IV Prelims,TongFu,EG,DIRE,58803790
2012-11-08,G-1 IV Prelims,LGD.cn,EG,RADIANT,59649229
2012-11-08,G-1 IV Prelims,EG,LGD.cn,DIRE,59673526
2012-11-13,RaidCall I,EG,Empire,RADIANT,62376230
2012-11-13,RaidCall I,Empire,EG,DIRE,62393461
2012-11-17,RaidCall I,EG,Zero,RADIANT,64364961
2012-11-17,RaidCall I,Zero,EG,RADIANT,64328543
2012-11-17,RaidCall I,EG,Zero,RADIANT,64290073
2012-11-18,RaidCall I,EG,Empire,DIRE,64835897
2012-11-18,RaidCall I,Empire,EG,RADIANT,64870970
2012-11-18,RaidCall I,EG,Dignitas,DIRE,64911815
2012-11-18,RaidCall I,Dignitas,EG,DIRE,64934671
